Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0004418,-0.00072045,0.016622,0,0,0,0.9248,0.00063265,6.5439E-06,-5.2376E-06,0.0011738,-7.2183E-06,0.00099241,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/base_link.STL,0.34118,0.80392,1,1,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_shoulder_link,-0.023049,-0.011251,0.0030217,0,0,0,0.10229,2.3388E-05,-3.7973E-08,-4.5621E-13,1.6266E-05,-3.6502E-07,2.8445E-05,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/front_left_shoulder_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/front_left_shoulder_link.STL,,left_leg_shoulder-1,Origin_front_left_shoulder_joint,Axis_front_left_shoulder_joint,front_left_shoulder_joint,revolute,0.039001,-0.0766,0.010875,1.5708,0,1.5708,base_link,1,0,0,3,8,0,3.14,,,,,,,,
front_left_thigh_link,-0.0061957,-0.058673,0.023449,0,0,0,0.20833,6.5328E-05,-2.5965E-06,7.6159E-09,4.1013E-05,7.2121E-08,5.5965E-05,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/front_left_thigh_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/front_left_thigh_link.STL,,left_leg_thigh-1,Origin_front_left_thigh_joint,Axis_front_left_thigh_joint,front_left_thigh_joint,revolute,-0.0234,0,0.0226,0,0,0,front_left_shoulder_link,0,0,1,3,8,0,3.14,,,,,,,,
front_left_calf_link,-0.0059573,-0.056415,0.023401,0,0,0,0.039633,3.7201E-05,-3.5058E-06,-3.4162E-10,4.3723E-06,-3.0852E-09,3.5395E-05,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/front_left_calf_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/front_left_calf_link.STL,,calf-1,Origin_front_left_calf_joint,Axis_front_left_calf_joint,front_left_calf_joint,revolute,-0.012392,-0.11735,0,0,0,0,front_left_thigh_link,0,0,1,3,8,0,3.14,,,,,,,,
rear_left_shoulder_link,0.022101,-0.011251,0.0030217,0,0,0,0.10229,2.3388E-05,-3.7973E-08,-4.5621E-13,1.6266E-05,-3.6502E-07,2.8445E-05,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_left_shoulder_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_left_shoulder_link.STL,,left_leg_shoulder-2,Origin_rear_left_shoulder_joint,Axis_rear_left_shoulder_joint,rear_left_shoulder_joint,revolute,0.039001,0.07825,0.010875,1.5708,0,1.5708,base_link,1,0,0,3,8,0,3.14,,,,,,,,
rear_left_thigh_link,-0.0061957,-0.058673,0.023449,0,0,0,0.20833,6.5328E-05,-2.5965E-06,7.6159E-09,4.1013E-05,7.2121E-08,5.5965E-05,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_left_thigh_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_left_thigh_link.STL,,left_leg_thigh-2,Origin_rear_left_thigh_joint,Axis_rear_left_thigh_joint,rear_left_thigh_joint,revolute,0.02175,0,0.0226,0,0,0,rear_left_shoulder_link,0,0,1,3,8,0,3.14,,,,,,,,
rear_left_calf_link,-0.0059573,-0.056415,0.023401,0,0,0,0.039633,3.7201E-05,-3.5058E-06,-3.4162E-10,4.3723E-06,-3.0852E-09,3.5395E-05,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_left_calf_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_left_calf_link.STL,,calf-2,Origin_rear_left_calf_joint,Axis_rear_left_calf_joint,rear_left_calf_joint,revolute,-0.012392,-0.11735,0,0,0,0,rear_left_thigh_link,0,0,1,3,8,0,3.14,,,,,,,,
rear_right_shoulder_link,-0.022101,0.011263,-0.0029782,0,0,0,0.10229,2.3388E-05,-3.7964E-08,-1.4601E-10,1.6269E-05,-4.12E-07,2.8442E-05,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_right_shoulder_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_right_shoulder_link.STL,,right_leg_shoulder-1,Origin_rear_right_shoulder_joint,Axis_rear_right_shoulder_joint,rear_right_shoulder_joint,revolute,-0.03901,0.07825,0.010875,-1.5747,0,-1.5708,base_link,1,0,0,3,8,0,3.14,,,,,,,,
rear_right_thigh_link,7.3479E-10,-0.05909,0.023473,0,0,0,0.20833,6.5602E-05,2.8634E-13,-2.0237E-14,4.0739E-05,1.3777E-08,5.5965E-05,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_right_thigh_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_right_thigh_link.STL,,right_leg_thigh-1,Origin_rear_right_thigh_joint,Axis_rear_right_thigh_joint,rear_right_thigh_joint,revolute,-0.02175,8.6996E-05,-0.022548,-3.1416,0,0,rear_right_shoulder_link,0,0,-1,3,8,0,3.14,,,,,,,,
rear_right_calf_link,-0.0059573,-0.056415,-0.02395,0,0,0,0.039633,3.7201E-05,-3.5058E-06,-3.4162E-10,4.3723E-06,-3.0852E-09,3.5395E-05,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_right_calf_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://spot_micro_urdf_v2/meshes/rear_right_calf_link.STL,,calf-4,Origin_rear_right_calf_joint,Axis_rear_right_calf_joint,rear_right_calf_joint,revolute,0,-0.118,-0.00045526,3.14,0,3.14,rear_right_thigh_link,0,0,1,3,8,0,3.14,,,,,,,,
